Data Extract Date,Overdose Death Year,Overdose Death Drug Class,Overdose Death Geography Level,Overdose Death FIPS,Overdose Death Geography Name,Overdose Death Health District,Overdose Death Count,"Overdose Death Rate per 100,000 Residents"
6/2/2025,2021,Any Opioids,Locality,51175,Southampton County,Western Tidewater,2,11.3
6/2/2025,2021,Benzodiazepine,Locality,51147,Prince Edward County,Piedmont,0,0
6/2/2025,2020,Any Opioids,Locality,51690,Martinsville City,West Piedmont,8,64.8
6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51027,Buchanan County,Cumberland Plateau,0,0
6/2/2025,2019,Benzodiazepine,Locality,51187,Warren County,Lord Fairfax,5,12.4
6/2/2025,2022,Psychostimulant,Locality,51735,Poquoson City,Peninsula,0,0
6/2/2025,2024^,Methadone,Locality,51053,Dinwiddie County,Crater,0,0
6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51113,Madison County,Rappahannock/Rapidan,2,15.1
6/2/2025,2024^,Heroin,Locality,51035,Carroll County,Mount Rogers,0,0
6/2/2025,2023,Any Opioids,Locality,51057,Essex County,Three Rivers,1,9.1
6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51041,Chesterfield County,Chesterfield,118,32.9
6/2/2025,2021,Psychostimulant,Locality,51179,Stafford County,Rappahannock,9,5.7
6/2/2025,2025†,Heroin,Locality,51036,Charles City County,Chickahominy,0,0
6/2/2025,2024^,Cocaine,Locality,51139,Page County,Lord Fairfax,0,0
6/2/2025,2019,Methadone,Locality,51830,Williamsburg City,Peninsula,0,0
6/2/2025,2022,Psychostimulant,Locality,51125,Nelson County,Blue Ridge,1,6.8
6/2/2025,2023,Cocaine,Locality,51610,Falls Church City,Fairfax,1,6.8
6/2/2025,2020,Cocaine,Locality,51161,Roanoke County,Alleghany,4,4.2
6/2/2025,2022,Benzodiazepine,Locality,51199,York County,Peninsula,0,0
6/2/2025,2020,Methadone,Locality,51159,Richmond County,Three Rivers,0,0
6/2/2025,2024^,All-Drug,Locality,51155,Pulaski County,New River,16,47.1
6/2/2025,2021,Methadone,Locality,51131,Northampton County,Eastern Shore,0,0
6/2/2025,2022,Methadone,Locality,51099,King George County,Rappahannock,0,0
6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51097,King and Queen County,Three Rivers,0,0
6/2/2025,2024^,Psychostimulant,Locality,51027,Buchanan County,Cumberland Plateau,5,24.3
6/2/2025,2022,Benzodiazepine,Locality,51197,Wythe County,Mount Rogers,0,0
6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51650,Hampton City,Hampton,39,28.8
6/2/2025,2023,Methadone,Locality,51193,Westmoreland County,Three Rivers,1,5.5
6/2/2025,2020,Psychostimulant,Locality,51009,Amherst County,Central Virginia,4,12.6
6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51800,Suffolk City,Western Tidewater,31,33
6/2/2025,2023,Any Opioids,Locality,51183,Sussex County,Crater,3,27.5
6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51181,Surry County,Crater,0,0
