data_extract_date,Overdose Death Year,drug_class,Overdose Death Geography Level,Overdose Death FIPS,vdh_geography_name,health_district,Overdose Death Count,"Overdose Death Rate per 100,000 Residents",year,fips,overdose_count,overdose_rate,locality_name,locality_type,labor_force,employed,unemployed,unemployment_rate,population
6/2/2025,2019,All-Drug,Locality,51001,Accomack County,Eastern Shore,5,15.5,2019,51001,5,15.5,Accomack County,county,15087.0,14499.0,588.0,3.9,33495.0
6/2/2025,2019,All-Drug,Locality,51003,Albemarle County,Blue Ridge,10,9.1,2019,51003,10,9.1,Albemarle County,county,57828.0,56401.0,1427.0,2.5,109987.0
6/2/2025,2019,All-Drug,Locality,51005,Alleghany County,Alleghany,1,6.7,2019,51005,1,6.7,Alleghany County,county,6449.0,6214.0,235.0,3.6,15306.0
6/2/2025,2019,All-Drug,Locality,51007,Amelia County,Piedmont,7,53.3,2019,51007,7,53.3,Amelia County,county,6321.0,6125.0,196.0,3.1,13167.0
6/2/2025,2019,All-Drug,Locality,51009,Amherst County,Central Virginia,7,22.1,2019,51009,7,22.1,Amherst County,county,15663.0,15189.0,474.0,3.0,31658.0
6/2/2025,2019,All-Drug,Locality,51011,Appomattox County,Central Virginia,1,6.3,2019,51011,1,6.3,Appomattox County,county,7872.0,7625.0,247.0,3.1,15866.0
6/2/2025,2019,All-Drug,Locality,51013,Arlington County,Arlington,17,7.2,2019,51013,17,7.2,Arlington County,county,151576.0,148663.0,2913.0,1.9,240380.0
6/2/2025,2019,All-Drug,Locality,51015,Augusta County,Central Shenandoah,9,11.9,2019,51015,9,11.9,Augusta County,county,39139.0,38229.0,910.0,2.3,75949.0
6/2/2025,2019,All-Drug,Locality,51017,Bath County,Central Shenandoah,0,0,2019,51017,0,0.0,Bath County,county,2167.0,2108.0,59.0,2.7,4389.0
6/2/2025,2019,All-Drug,Locality,51019,Bedford County,Central Virginia,8,10.1,2019,51019,8,10.1,Bedford County,county,38664.0,37579.0,1085.0,2.8,78793.0
6/2/2025,2019,All-Drug,Locality,51021,Bland County,Mount Rogers,1,15.9,2019,51021,1,15.9,Bland County,county,2632.0,2555.0,77.0,2.9,6467.0
6/2/2025,2019,All-Drug,Locality,51023,Botetourt County,Alleghany,7,20.9,2019,51023,7,20.9,Botetourt County,county,16618.0,16184.0,434.0,2.6,33394.0
6/2/2025,2019,All-Drug,Locality,51025,Brunswick County,Southside,5,30.8,2019,51025,5,30.8,Brunswick County,county,6608.0,6334.0,274.0,4.1,16128.0
6/2/2025,2019,All-Drug,Locality,51027,Buchanan County,Cumberland Plateau,6,28.6,2019,51027,6,28.6,Buchanan County,county,6635.0,6269.0,366.0,5.5,20695.0
6/2/2025,2019,All-Drug,Locality,51029,Buckingham County,Piedmont,1,5.8,2019,51029,1,5.8,Buckingham County,county,7222.0,6960.0,262.0,3.6,16850.0
6/2/2025,2019,All-Drug,Locality,51031,Campbell County,Central Virginia,4,7.3,2019,51031,4,7.3,Campbell County,county,28167.0,27370.0,797.0,2.8,54995.0
6/2/2025,2019,All-Drug,Locality,51033,Caroline County,Rappahannock,4,13,2019,51033,4,13.0,Caroline County,county,15210.0,14731.0,479.0,3.1,30344.0
6/2/2025,2019,All-Drug,Locality,51035,Carroll County,Mount Rogers,8,26.9,2019,51035,8,26.9,Carroll County,county,12509.0,12052.0,457.0,3.7,29077.0
6/2/2025,2019,All-Drug,Locality,51036,Charles City County,Chickahominy,3,43.1,2019,51036,3,43.1,Charles City County,city,3551.0,3428.0,123.0,3.5,6847.0
6/2/2025,2019,All-Drug,Locality,51037,Charlotte County,Piedmont,4,33.7,2019,51037,4,33.7,Charlotte County,county,4926.0,4747.0,179.0,3.6,11689.0
6/2/2025,2019,All-Drug,Locality,51041,Chesterfield County,Chesterfield,88,24.9,2019,51041,88,24.9,Chesterfield County,county,189254.0,184087.0,5167.0,2.7,354923.0
6/2/2025,2019,All-Drug,Locality,51043,Clarke County,Lord Fairfax,5,34.2,2019,51043,5,34.2,Clarke County,county,7652.0,7465.0,187.0,2.4,14533.0
6/2/2025,2019,All-Drug,Locality,51045,Craig County,Alleghany,0,0,2019,51045,0,0.0,Craig County,county,2092.0,2022.0,70.0,3.3,4810.0
6/2/2025,2019,All-Drug,Locality,51047,Culpeper County,Rappahannock/Rapidan,12,22.8,2019,51047,12,22.8,Culpeper County,county,26362.0,25731.0,631.0,2.4,51443.0
6/2/2025,2019,All-Drug,Locality,51049,Cumberland County,Piedmont,2,20.1,2019,51049,2,20.1,Cumberland County,county,5172.0,5037.0,135.0,2.6,9749.0
6/2/2025,2019,All-Drug,Locality,51051,Dickenson County,Cumberland Plateau,7,48.9,2019,51051,7,48.9,Dickenson County,county,4807.0,4581.0,226.0,4.7,14394.0
6/2/2025,2019,All-Drug,Locality,51053,Dinwiddie County,Crater,5,17.5,2019,51053,5,17.5,Dinwiddie County,county,14008.0,13581.0,427.0,3.0,28122.0
6/2/2025,2019,All-Drug,Locality,51057,Essex County,Three Rivers,0,0,2019,51057,0,0.0,Essex County,county,4924.0,4737.0,187.0,3.8,10636.0
6/2/2025,2019,All-Drug,Locality,51059,Fairfax County,Fairfax,95,8.3,2019,51059,95,8.3,Fairfax County,county,635762.0,621434.0,14328.0,2.3,1148957.0
6/2/2025,2019,All-Drug,Locality,51061,Fauquier County,Rappahannock/Rapidan,18,25.3,2019,51061,18,25.3,Fauquier County,county,40187.0,39276.0,911.0,2.3,71612.0
6/2/2025,2019,All-Drug,Locality,51063,Floyd County,New River,2,12.7,2019,51063,2,12.7,Floyd County,county,8138.0,7933.0,205.0,2.5,15461.0
6/2/2025,2019,All-Drug,Locality,51065,Fluvanna County,Blue Ridge,1,3.7,2019,51065,1,3.7,Fluvanna County,county,13867.0,13544.0,323.0,2.3,26896.0
6/2/2025,2019,All-Drug,Locality,51067,Franklin County,West Piedmont,9,16.1,2019,51067,9,16.1,Franklin County,county,25342.0,24594.0,748.0,3.0,54352.0
6/2/2025,2019,All-Drug,Locality,51069,Frederick County,Lord Fairfax,15,16.8,2019,51069,15,16.8,Frederick County,county,46339.0,45177.0,1162.0,2.5,89089.0
6/2/2025,2019,All-Drug,Locality,51071,Giles County,New River,3,17.9,2019,51071,3,17.9,Giles County,county,7659.0,7406.0,253.0,3.3,16991.0
6/2/2025,2019,All-Drug,Locality,51073,Gloucester County,Three Rivers,5,13.4,2019,51073,5,13.4,Gloucester County,county,19653.0,19145.0,508.0,2.6,38327.0
6/2/2025,2019,All-Drug,Locality,51075,Goochland County,Chickahominy,3,12.6,2019,51075,3,12.6,Goochland County,county,11896.0,11576.0,320.0,2.7,24328.0
6/2/2025,2019,All-Drug,Locality,51077,Grayson County,Mount Rogers,1,6.4,2019,51077,1,6.4,Grayson County,county,6794.0,6567.0,227.0,3.3,15422.0
6/2/2025,2019,All-Drug,Locality,51079,Greene County,Blue Ridge,5,25.2,2019,51079,5,25.2,Greene County,county,10968.0,10721.0,247.0,2.3,20291.0
6/2/2025,2019,All-Drug,Locality,51081,Greensville County,Crater,1,8.8,2019,51081,1,8.8,Greensville County,county,3864.0,3718.0,146.0,3.8,11301.0
6/2/2025,2019,All-Drug,Locality,51083,Halifax County,Southside,9,26.5,2019,51083,9,26.5,Halifax County,county,14872.0,14267.0,605.0,4.1,34216.0
6/2/2025,2019,All-Drug,Locality,51085,Hanover County,Chickahominy,23,21.3,2019,51085,23,21.3,Hanover County,county,58851.0,57424.0,1427.0,2.4,108611.0
6/2/2025,2019,All-Drug,Locality,51087,Henrico County,Henrico,69,20.9,2019,51087,69,20.9,Henrico County,county,182205.0,177157.0,5048.0,2.8,328796.0
6/2/2025,2019,All-Drug,Locality,51089,Henry County,West Piedmont,16,31.6,2019,51089,16,31.6,Henry County,county,21094.0,20310.0,784.0,3.7,51236.0
6/2/2025,2019,All-Drug,Locality,51091,Highland County,Central Shenandoah,0,0,2019,51091,0,0.0,Highland County,county,924.0,891.0,33.0,3.6,2244.0
6/2/2025,2019,All-Drug,Locality,51093,Isle of Wight County,Western Tidewater,6,16.2,2019,51093,6,16.2,Isle of Wight County,county,19379.0,18829.0,550.0,2.8,38535.0
6/2/2025,2019,All-Drug,Locality,51095,James City County,Peninsula,7,9.1,2019,51095,7,9.1,James City County,city,35310.0,34340.0,970.0,2.7,76633.0
6/2/2025,2019,All-Drug,Locality,51097,King and Queen County,Three Rivers,0,0,2019,51097,0,0.0,King and Queen County,county,3554.0,3451.0,103.0,2.9,6715.0
6/2/2025,2019,All-Drug,Locality,51099,King George County,Rappahannock,9,33.5,2019,51099,9,33.5,King George County,county,13534.0,13186.0,348.0,2.6,26084.0
6/2/2025,2019,All-Drug,Locality,51101,King William County,Three Rivers,3,17.5,2019,51101,3,17.5,King William County,county,9525.0,9276.0,249.0,2.6,17537.0
6/2/2025,2019,All-Drug,Locality,51103,Lancaster County,Three Rivers,0,0,2019,51103,0,0.0,Lancaster County,county,4498.0,4268.0,230.0,5.1,11008.0
6/2/2025,2019,All-Drug,Locality,51105,Lee County,Lenowisco,5,21.3,2019,51105,5,21.3,Lee County,county,7719.0,7397.0,322.0,4.2,23185.0
6/2/2025,2019,All-Drug,Locality,51107,Loudoun County,Loudoun,28,6.8,2019,51107,28,6.8,Loudoun County,county,234008.0,228865.0,5143.0,2.2,412828.0
6/2/2025,2019,All-Drug,Locality,51109,Louisa County,Blue Ridge,15,39.9,2019,51109,15,39.9,Louisa County,county,18086.0,17562.0,524.0,2.9,36434.0
6/2/2025,2019,All-Drug,Locality,51111,Lunenburg County,Piedmont,1,8.2,2019,51111,1,8.2,Lunenburg County,county,4631.0,4466.0,165.0,3.6,12185.0
6/2/2025,2019,All-Drug,Locality,51113,Madison County,Rappahannock/Rapidan,4,30.2,2019,51113,4,30.2,Madison County,county,6991.0,6825.0,166.0,2.4,13560.0
6/2/2025,2019,All-Drug,Locality,51115,Mathews County,Three Rivers,0,0,2019,51115,0,0.0,Mathews County,county,3610.0,3495.0,115.0,3.2,8538.0
6/2/2025,2019,All-Drug,Locality,51117,Mecklenburg County,Southside,5,16.3,2019,51117,5,16.3,Mecklenburg County,county,13203.0,12699.0,504.0,3.8,31009.0
6/2/2025,2019,All-Drug,Locality,51119,Middlesex County,Three Rivers,1,9.5,2019,51119,1,9.5,Middlesex County,county,4776.0,4642.0,134.0,2.8,10764.0
6/2/2025,2019,All-Drug,Locality,51121,Montgomery County,New River,10,10.1,2019,51121,10,10.1,Montgomery County,county,48833.0,47411.0,1422.0,2.9,100690.0
6/2/2025,2019,All-Drug,Locality,51125,Nelson County,Blue Ridge,3,20.1,2019,51125,3,20.1,Nelson County,county,7123.0,6919.0,204.0,2.9,14752.0
6/2/2025,2019,All-Drug,Locality,51127,New Kent County,Chickahominy,4,17.3,2019,51127,4,17.3,New Kent County,county,11948.0,11656.0,292.0,2.4,22715.0
6/2/2025,2019,All-Drug,Locality,51131,Northampton County,Eastern Shore,2,17.1,2019,51131,2,17.1,Northampton County,county,5222.0,4978.0,244.0,4.7,12152.0
6/2/2025,2019,All-Drug,Locality,51133,Northumberland County,Three Rivers,1,8.3,2019,51133,1,8.3,Northumberland County,county,4707.0,4470.0,237.0,5.0,11877.0
6/2/2025,2019,All-Drug,Locality,51135,Nottoway County,Piedmont,3,19.7,2019,51135,3,19.7,Nottoway County,county,5932.0,5732.0,200.0,3.4,15773.0
6/2/2025,2019,All-Drug,Locality,51137,Orange County,Rappahannock/Rapidan,12,32.4,2019,51137,12,32.4,Orange County,county,17899.0,17397.0,502.0,2.8,35599.0
6/2/2025,2019,All-Drug,Locality,51139,Page County,Lord Fairfax,6,25.1,2019,51139,6,25.1,Page County,county,11621.0,11169.0,452.0,3.9,23774.0
6/2/2025,2019,All-Drug,Locality,51141,Patrick County,West Piedmont,4,22.7,2019,51141,4,22.7,Patrick County,county,7866.0,7617.0,249.0,3.2,17999.0
6/2/2025,2019,All-Drug,Locality,51143,Pittsylvania County,Pittsylvania/Danville,14,23.2,2019,51143,14,23.2,Pittsylvania County,county,27606.0,26615.0,991.0,3.6,60705.0
6/2/2025,2019,All-Drug,Locality,51145,Powhatan County,Chesterfield,7,23.6,2019,51145,7,23.6,Powhatan County,county,16008.0,15629.0,379.0,2.4,30153.0
6/2/2025,2019,All-Drug,Locality,51147,Prince Edward County,Piedmont,2,8.8,2019,51147,2,8.8,Prince Edward County,county,8836.0,8465.0,371.0,4.2,22681.0
6/2/2025,2019,All-Drug,Locality,51149,Prince George County,Crater,6,15.6,2019,51149,6,15.6,Prince George County,county,16661.0,16208.0,453.0,2.7,40095.0
6/2/2025,2019,All-Drug,Locality,51153,Prince William County,Prince William,66,14,2019,51153,66,14.0,Prince William County,county,255786.0,249535.0,6251.0,2.4,474611.0
6/2/2025,2019,All-Drug,Locality,51155,Pulaski County,New River,12,35.3,2019,51155,12,35.3,Pulaski County,county,15436.0,14900.0,536.0,3.5,33930.0
6/2/2025,2019,All-Drug,Locality,51157,Rappahannock County,Rappahannock/Rapidan,1,13.6,2019,51157,1,13.6,Rappahannock County,county,3646.0,3553.0,93.0,2.6,7223.0
6/2/2025,2019,All-Drug,Locality,51159,Richmond County,Three Rivers,3,33.2,2019,51159,3,33.2,Richmond County,county,3423.0,3302.0,121.0,3.5,9097.0
6/2/2025,2019,All-Drug,Locality,51161,Roanoke County,Alleghany,14,14.9,2019,51161,14,14.9,Roanoke County,county,48310.0,47051.0,1259.0,2.6,95591.0
6/2/2025,2019,All-Drug,Locality,51163,Rockbridge County,Central Shenandoah,2,8.9,2019,51163,2,8.9,Rockbridge County,county,10719.0,10433.0,286.0,2.7,22533.0
6/2/2025,2019,All-Drug,Locality,51165,Rockingham County,Central Shenandoah,10,12.2,2019,51165,10,12.2,Rockingham County,county,43846.0,42844.0,1002.0,2.3,82118.0
6/2/2025,2019,All-Drug,Locality,51167,Russell County,Cumberland Plateau,3,11.3,2019,51167,3,11.3,Russell County,county,9746.0,9292.0,454.0,4.7,26361.0
6/2/2025,2019,All-Drug,Locality,51169,Scott County,Lenowisco,2,9.3,2019,51169,2,9.3,Scott County,county,8058.0,7781.0,277.0,3.4,22126.0
6/2/2025,2019,All-Drug,Locality,51171,Shenandoah County,Lord Fairfax,14,32.1,2019,51171,14,32.1,Shenandoah County,county,21623.0,21065.0,558.0,2.6,43388.0
6/2/2025,2019,All-Drug,Locality,51173,Smyth County,Mount Rogers,6,19.9,2019,51173,6,19.9,Smyth County,county,12350.0,11853.0,497.0,4.0,30360.0
6/2/2025,2019,All-Drug,Locality,51175,Southampton County,Western Tidewater,1,5.7,2019,51175,1,5.7,Southampton County,county,8169.0,7925.0,244.0,3.0,18138.0
6/2/2025,2019,All-Drug,Locality,51177,Spotsylvania County,Rappahannock,34,25,2019,51177,34,25.0,Spotsylvania County,county,71458.0,69493.0,1965.0,2.7,136914.0
6/2/2025,2019,All-Drug,Locality,51179,Stafford County,Rappahannock,34,22.2,2019,51179,34,22.2,Stafford County,county,77794.0,75777.0,2017.0,2.6,152983.0
6/2/2025,2019,All-Drug,Locality,51181,Surry County,Crater,1,15.6,2019,51181,1,15.6,Surry County,county,3349.0,3225.0,124.0,3.7,6579.0
6/2/2025,2019,All-Drug,Locality,51183,Sussex County,Crater,2,17.9,2019,51183,2,17.9,Sussex County,county,4688.0,4517.0,171.0,3.6,11243.0
6/2/2025,2019,All-Drug,Locality,51185,Tazewell County,Cumberland Plateau,18,44.3,2019,51185,18,44.3,Tazewell County,county,15069.0,14399.0,670.0,4.4,41582.0
6/2/2025,2019,All-Drug,Locality,51187,Warren County,Lord Fairfax,18,44.8,2019,51187,18,44.8,Warren County,county,20546.0,19978.0,568.0,2.8,40047.0
6/2/2025,2019,All-Drug,Locality,51191,Washington County,Mount Rogers,9,16.7,2019,51191,9,16.7,Washington County,county,24369.0,23506.0,863.0,3.5,53956.0
6/2/2025,2019,All-Drug,Locality,51193,Westmoreland County,Three Rivers,9,50,2019,51193,9,50.0,Westmoreland County,county,7535.0,7205.0,330.0,4.4,18340.0
